Average_MAE_GAN,Average_MAE_NEAR,Average_MAE_KRIG,Average_MSE_GAN,Average_MSE_NEAR,Average_MSE_KRIG
0.2708630552148911,0.24769759544531253,0.26103239984085497,0.20081484462212254,0.19522544276178186,0.1977498220470285
0.33718500187680867,0.6925199848515624,0.4102660238956481,0.28372935924352166,1.0714663120916679,0.4731273474824427
0.2649834563810792,0.31709442425781253,0.2534680592429763,0.1779979863736082,0.32182979358035235,0.1815759746389756
0.30653605388118005,0.39018439360546875,0.31974710480451657,0.28133412999458285,0.4064051597212043,0.26697568238245817
0.29034539826556377,0.23127850495052082,0.25285621016084675,0.2268299618826314,0.18617576549907808,0.18162546199731622
0.3049141516851077,0.334364921296875,0.34499672856285674,0.2795964067845174,0.3381516930461515,0.326023718269529
0.28544501718643334,0.24689760615364584,0.280097638168134,0.2062450777320979,0.19485799430634998,0.21104121043028665
0.3253449692914586,0.4047319107578125,0.3642884995351871,0.3152006418840842,0.41546736272672274,0.3379593903520859
0.28173037882413404,0.26765537593489586,0.24930957485294325,0.23464241272011255,0.23212091255468373,0.17993304431360022
0.35766976218136387,0.5784525603085938,0.34531710397462356,0.31996786339725414,0.7750882747015699,0.27449565944137816
0.2942315164457779,0.25452303897395834,0.2557961943928395,0.2366047915094985,0.2102910599565905,0.2037901770089031
0.3411633455828357,0.3872004360234375,0.3744115437765281,0.3156837693735419,0.39055668002338684,0.35541469109856405
0.2611213319667562,0.2996006485729167,0.25119507097037885,0.18135388412842687,0.3117919814588732,0.17603723650677694
0.352080380717197,0.6109266485664062,0.40310645785635074,0.2996812493740692,0.8235040714276154,0.3940695922804127
0.289774396834199,0.26313650365625,0.24810930159952108,0.24784347866811016,0.22544769876447082,0.19010092515232782
0.35159007134190967,0.43171009840234376,0.3466757907675372,0.32924408303193003,0.4353422450501324,0.3260529378731415
0.30799968324007526,0.28849512458854165,0.29156791787217773,0.2462268657992334,0.2559045443182935,0.2555305984125887
0.28273262490004797,0.2737517555,0.29706643991024284,0.2665417201983759,0.24618237801743256,0.25091297471451035
0.29226532321500537,0.2997194860598958,0.2525502510900243,0.23762914822105444,0.2828529802064559,0.20400723671149457
0.3262313885228102,0.37298371539062497,0.30945208149030157,0.3053361936501973,0.3789013979617687,0.22762735407705575
0.2888327505970365,0.2561986970703125,0.2889470264672603,0.21866441381175317,0.21135576271523304,0.23380392953864995
0.32905447174000435,0.4190338108085938,0.36825275868843405,0.28010995123456445,0.41640886827300144,0.30969146382034635
0.2928627426991595,0.2547611114166667,0.25009873201629973,0.24079259353331692,0.20843684536162688,0.19845117064608642
0.29485302502069566,0.31622637255078123,0.2993371111699704,0.2779530631332377,0.3130784304855627,0.2581949409606824
0.28445893740401407,0.25627361101822915,0.2976253274060699,0.21895293432751398,0.21609103511124275,0.27559360323088417
0.30738770513107044,0.6024735633398437,0.3804760871700062,0.25212324953020426,0.9451024870274678,0.3924211148154284
0.3087842114144959,0.39746662922916665,0.3014895523109727,0.2226480437524875,0.4253037372163553,0.2616365131034046
0.28393848586281917,0.36918059943750003,0.3010111088185777,0.2519144082457815,0.37637775506915144,0.26585343906102915
0.27183944301714724,0.23073055755729166,0.22970905600598987,0.21435369231986187,0.18204099618098157,0.1681016146768827
0.32538260941424796,0.3414958948710937,0.32177704768048787,0.3344382144622222,0.35141109169226753,0.3002608088564801
0.28222807520349774,0.27785078211197917,0.27327354652690905,0.22539830664302776,0.24655907473308267,0.20508221070892071
0.2655766280032263,0.29731668884375,0.29975302322570047,0.24317093766968773,0.2865160293248885,0.26774986042649995
0.2597763244547509,0.2629238080859375,0.24257344507730458,0.18883972221665388,0.2260220850754432,0.1717415977257287
0.3031701393304202,0.32488486974999997,0.29825767461624086,0.2853944487382301,0.32532346231095916,0.26348633323832704
