Index,MSE GAN,MSE NearNei,MSE IDW,MSE Krig,MSE NatNei,MSE Inpt
0,1.1656064,0.07018477873247143,0.12226134690925548,0.0722972579644495,0.1255830314686561,0.17944245610310297
1,1.0420604,0.10354701359581246,0.26224766124233106,0.08277127949691913,0.13433010917491245,0.4209969622554938
2,0.9218566,0.1880221268990523,0.24849534374472187,0.06627341786358223,0.13122501523722696,0.24908694820013666
3,1.1885799,0.4546326345559652,0.41895214593746644,0.2106313595147743,0.4371451088118529,0.5490951774007811
4,1.0414016,0.21759847842212243,0.7907444324766411,0.16419272363649035,0.27578367273585047,0.7872064412986495
5,1.0083153,0.3882595905397594,0.503972761705582,0.5935178364611708,0.48928628315318456,0.5800524560750626
6,0.8683866,0.06410056634584602,0.09799242448768006,0.06024161315626642,0.19496139021935882,0.41159798682205706
7,0.24819952,0.04979960107941672,0.16318461467656423,0.05167906448077669,0.13133649438491063,0.19303307229314065
8,0.74062526,0.03733255905663905,0.16626776915487682,0.07945928601479113,0.17179255169802887,0.1696422761077957
9,0.50697047,0.24425642766533825,0.3737762442397524,0.08339410176262987,0.1383550055605337,0.5064851038466459
10,1.1992922,0.1313153002388257,0.21522362739616663,0.13053354983367815,0.1829622055417512,0.14186135707881886
11,0.9811767,0.08999836988406874,0.2637944638439145,0.06322600866102758,0.16113068006086326,0.30826871251302135
12,0.5003655,0.32887245635757767,0.48979615298504176,0.12245072443058626,0.3438079113774062,0.47668312611395813
13,0.3989547,0.0420870554073252,0.038326069379896424,0.029023395500229622,0.09553442379421462,0.11644817792069356
14,1.106457,0.07273555381972713,0.13256966261250527,0.05977805017078063,0.09087951283008425,0.18823172649568426
15,0.6977908,0.12416022906388982,0.11216527843976233,0.352817988847251,0.15370722970585812,0.20100860349770966
Mean,0.85100245,0.16293142135398986,0.2749856249520099,0.13889297861221273,0.20361378910966832,0.34244628650142195
