Index,MAE GAN,MAE NearNei,MAE IDW,MAE Krig,MAE NatNei,MAE Inpt
0,0.86096096,0.14794993490795605,0.22010963692814395,0.1800128899690061,0.20978700505892933,0.32968184836746495
1,0.8926977,0.1391920588866924,0.32502386656954974,0.1902320485554827,0.21307714430589683,0.5325770847156901
2,0.85615265,0.19032733908534283,0.3032852773249099,0.1512760322208347,0.1969172117758789,0.3241305822251959
3,0.8461943,0.3194314699212555,0.3457956622928439,0.2469028925559705,0.3551337125076009,0.46673684384821745
4,0.8591493,0.2405536052174284,0.6395611521644669,0.2501948559531695,0.33594152536379523,0.7485179971911627
5,0.76007736,0.24802715499390615,0.4077749433015189,0.521206619291348,0.4062290671434418,0.5294778395646835
6,0.7409873,0.13570532704761717,0.20619835356782118,0.15856223158685429,0.2514272433479461,0.4606358189443036
7,0.37720722,0.11620834811765235,0.2607149935096239,0.15390495588487896,0.2322469134300279,0.35067303686736667
8,0.7100549,0.09462711309606675,0.2546990430297065,0.18592082043214256,0.2508048580721398,0.2849636997723377
9,0.49793375,0.2140390967251733,0.37207052342061864,0.18274350313482565,0.22791522802064806,0.6339669961581498
10,0.9534819,0.15644949659326812,0.2512248708546107,0.2203170249450503,0.24683837649718027,0.23636818478452115
11,0.81665087,0.14976917942112777,0.3349290162454668,0.18462854847536228,0.2660610184394294,0.4659217456045469
12,0.53496265,0.26003350882820087,0.45515079551325677,0.22467153237010143,0.3518614052755854,0.525044091506193
13,0.47450024,0.11831943748984486,0.13358733577758775,0.12603464778515117,0.1737194981477922,0.23622838170931787
14,0.88731045,0.11543989228084683,0.213183211385065,0.1614697678940375,0.16498501152553086,0.3121549978098583
15,0.71331793,0.17141930764046265,0.19029699681030393,0.3790903980825823,0.22022859997918398,0.2950415507883546
Mean,0.73635244,0.17609326689080262,0.30710035491846843,0.21982304807104985,0.2564483636806879,0.4207575437410852
