Name,depth,IC
CPT-A0,-0.5633,1.397665533777606
CPT-A0,-0.5833,1.4459235942445674
CPT-A0,-0.6033000000000001,1.477255620771233
CPT-A0,-0.6233,1.5010645750224503
CPT-A0,-0.6433,1.3974632950491066
CPT-A0,-0.6633,1.7691513237711454
CPT-A0,-0.6833,1.4964594573205412
CPT-A0,-0.7033,1.4021680839279307
CPT-A0,-0.7233,1.577778822862102
CPT-A0,-0.7433000000000001,2.1222525159973644
CPT-A0,-0.7633000000000001,1.6163020869685345
CPT-A0,-0.7833,1.3824198319885221
CPT-A0,-0.8033,1.7139317707605228
CPT-A0,-0.8233,1.700911178022702
CPT-A0,-0.8433,1.9254765831188452
CPT-A0,-0.8633,1.8133748556555436
CPT-A0,-0.8833,1.480063409561703
CPT-A0,-0.9033,1.5875210094717611
CPT-A0,-0.9233,1.4724093985550124
CPT-A0,-0.9433,1.7099323688967831
CPT-A0,-0.9633,1.5581941470778007
CPT-A0,-0.9833000000000001,1.7791394035235575
CPT-A0,-1.0033,1.7344819681075367
CPT-A0,-1.0233,1.710198405923795
CPT-A0,-1.0433,1.7396832058395886
CPT-A0,-1.0633,1.725093792919345
CPT-A0,-1.0833,1.6349832656595114
CPT-A0,-1.1033,1.7013092773939906
CPT-A0,-1.1233,1.7647354109769087
CPT-A0,-1.1433,1.472117417489359
CPT-A0,-1.1633,1.4487802829085772
CPT-A0,-1.1833,1.2644781262057236
CPT-A0,-1.2033,1.1940063099559088
CPT-A0,-1.2233,1.223269386701459
CPT-A0,-1.2433,1.2369639689167404
CPT-A0,-1.2633,1.2536720782376913
CPT-A0,-1.2833,1.3036697016534768
CPT-A0,-1.3033000000000001,1.3481104119496008
CPT-A0,-1.3233000000000001,1.4031522662362823
CPT-A0,-1.3433000000000002,1.452781733746331
CPT-A0,-1.3633000000000002,1.4183440377571215
CPT-A0,-1.3833,1.5149911268947847
CPT-A0,-1.4033,1.5401944101001517
CPT-A0,-1.4233,1.5819754715725443
CPT-A0,-1.4433,1.5759111271484454
CPT-A0,-1.4633,1.620373807151453
CPT-A0,-1.4833,1.6676004802140827
CPT-A0,-1.5033,1.7008070707528944
CPT-A0,-1.5233,1.7079840506068351
CPT-A0,-1.5433000000000001,1.7081642470225697
CPT-A0,-1.5633,1.7028149664011352
CPT-A0,-1.5833,1.7405637437797465
CPT-A0,-1.6033,1.7698060610985715
CPT-A0,-1.6233,1.776950279110267
CPT-A0,-1.6433,1.786317057440622
CPT-A0,-1.6633,1.7879744736598695
CPT-A0,-1.6833,1.799460781641112
CPT-A0,-1.7033,1.8377720362725918
CPT-A0,-1.7233,1.871332103852813
CPT-A0,-1.7433,1.9254038606679915
CPT-A0,-1.7633,1.9807042250432538
CPT-A0,-1.7833,2.0301653389736702
CPT-A0,-1.8033000000000001,2.05714131448124
CPT-A0,-1.8233000000000001,2.111149370626637
CPT-A0,-1.8433000000000002,2.159293035801732
CPT-A0,-1.8633000000000002,2.2171913759120705
CPT-A0,-1.8833000000000002,2.2742534248645323
CPT-A0,-1.9033000000000002,2.330198159109455
CPT-A0,-1.9233000000000002,2.373231030930512
CPT-A0,-1.9432999999999998,2.4057899645711363
CPT-A0,-1.9632999999999998,2.3803096224418523
CPT-A0,-1.9832999999999998,2.2757244432834476
CPT-A0,-2.0033,2.1772947137696637
CPT-A0,-2.0233,2.106792729431042
CPT-A0,-2.0433,2.1220767325422973
CPT-A0,-2.0633,2.1395839273552806
CPT-A0,-2.0833,2.2716099077657343
CPT-A0,-2.1033,2.3971110338637867
CPT-A0,-2.1233,2.5062571580991966
CPT-A0,-2.1433,2.6116800283562487
CPT-A0,-2.1633,2.6419961493156414
CPT-A0,-2.1833,2.6544910016239758
CPT-A0,-2.2033,2.6482565457460976
CPT-A0,-2.2233,2.676159653609872
CPT-A0,-2.2433,2.678486187781169
CPT-A0,-2.2633,2.6856846322721553
CPT-A0,-2.2833,2.715071476272893
CPT-A0,-2.3033,2.7310038295174865
CPT-A0,-2.3233,2.7295907897668554
CPT-A0,-2.3433,2.7234376131282394
CPT-A0,-2.3633,2.7432175644856294
CPT-A0,-2.3833,2.8036496942224454
CPT-A0,-2.4033,2.841936011317987
CPT-A0,-2.4233000000000002,2.8640745106694623
CPT-A0,-2.4433,2.877648785027561
CPT-A0,-2.4633,2.9130308396368454
CPT-A0,-2.4833,2.93784103996024
CPT-A0,-2.5033,2.924341110175041
CPT-A0,-2.5233,2.9210346330741066
CPT-A0,-2.5433,2.9207502254565494
