x,y
85166.582,443981.213
86152.11,440859.149
86433.84,439982.755
85920.043,441592.745
86156.074,440860.207
85924.034,441594.059
86431.103,439978.033
86673.5,439228.656
86822.062,438762.104
85705.53,442272.246
86669.538,439227.487
86818.126,438760.826
85170.479,443982.062
85709.546,442273.366
86437.75,439970.4
86433.362,439970.9
86433.001,439972.02
86437.398,439971.55
86437.027,439972.73
86433.707,439969.75
86434.087,439968.61
85911.88,441618.59
86436.681,439973.87
87007.71,438185.27
